"","score_rank","average_forever","price","Strategy","Multiplayer","Action","RPG","Simulation","Adventure","Singleplayer","Indie","Casual","Atmospheric","Great Soundtrack","Puzzle","2D"
"324",28,"[317,  475)",0,1,1,1,0,0,1,1,1,0,0,0,0,0
"325",87,"[931,41947]",5999,0,0,1,1,0,1,1,0,0,1,1,1,0
"326",90,"[475,  931)",1999,0,1,1,0,0,1,1,0,0,1,0,0,0
"327",87,"[475,  931)",1999,0,1,1,0,0,1,1,0,0,1,0,0,0
"328",67,"[931,41947]",5999,0,1,1,1,0,1,1,0,0,1,1,0,0
"329",43,"[931,41947]",999,0,1,1,1,0,1,1,0,0,1,0,0,0
"330",77,"[317,  475)",1999,0,1,1,0,0,1,1,0,0,1,0,0,0
"331",80,"[246,  317)",999,0,1,1,0,0,1,1,0,0,0,1,0,0
"332",90,"[931,41947]",299,0,0,1,1,0,1,1,1,0,0,0,0,1
"333",90,"[475,  931)",1499,0,1,1,0,0,0,1,1,0,0,0,0,1
"334",31,"[931,41947]",5999,1,1,1,1,0,0,1,0,0,1,0,0,0
"335",62,"[931,41947]",999,1,1,1,1,1,1,1,1,0,0,0,0,0
"336",93,"[165,  203)",1499,0,1,1,0,0,1,1,1,1,1,1,1,0
"337",80,"[931,41947]",1999,0,1,1,0,0,1,1,1,0,1,0,0,0
"338",34,"[475,  931)",0,1,1,1,0,1,0,1,0,0,0,0,0,0
"339",45,"[931,41947]",5999,1,1,1,1,0,0,1,0,0,1,1,0,0
